2023-03-22T22:39:24+03:00
Running ./lab_benchmarks
Run on (12 X 5000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x6)
  L1 Instruction 32 KiB (x6)
  L2 Unified 256 KiB (x6)
  L3 Unified 12288 KiB (x1)
Load Average: 0.86, 0.85, 0.95
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
----------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                  Time             CPU   Iterations
BM_PerRequest_QubicMapBuilding/Rectangles&Points:80                                      198 ns          200 ns      3517044
BM_PerRequest_QubicMapBuilding/Rectangles&Points:90                                      203 ns          200 ns      3489712
BM_PerRequest_QubicMapBuilding/Rectangles&Points:100                                     203 ns          200 ns      3491982
BM_PerRequest_QubicMapBuilding/Rectangles&Points:200                                     210 ns          207 ns      3367906
BM_PerRequest_QubicMapBuilding/Rectangles&Points:300                                     218 ns          220 ns      3159748
BM_PerRequest_QubicMapBuilding/Rectangles&Points:400                                     236 ns          239 ns      2973420
BM_PerRequest_QubicMapBuilding/Rectangles&Points:500                                     243 ns          244 ns      2887564
BM_PerRequest_QubicMapBuilding/Rectangles&Points:600                                     245 ns          245 ns      2828606
BM_PerRequest_QubicMapBuilding/Rectangles&Points:700                                     252 ns          253 ns      2764522
BM_PerRequest_QubicMapBuilding/Rectangles&Points:800                                     249 ns          255 ns      2717210
BM_PerRequest_QubicMapBuilding/Rectangles&Points:900                                     252 ns          254 ns      2719868
BM_PerRequest_QubicMapBuilding/Rectangles&Points:1000                                    258 ns          260 ns      2731391
BM_PerRequest_QubicMapBuilding/Rectangles&Points:2000                                    274 ns          277 ns      2515824
BM_PerRequest_QubicMapBuilding/Rectangles&Points:3000                                    292 ns          293 ns      2424121
BM_PerRequest_QubicMapBuilding/Rectangles&Points:4000                                    295 ns          298 ns      2348978
BM_PerRequest_QubicMapBuilding/Rectangles&Points:5000                                    306 ns          307 ns      2295669
BM_Building_PersistentSegmentTree/Rectangles&Points:10                                 12049 ns        12065 ns        56553
BM_Building_PersistentSegmentTree/Rectangles&Points:20                                 30572 ns        30604 ns        22699
BM_Building_PersistentSegmentTree/Rectangles&Points:30                                 53421 ns        53462 ns        12976
BM_Building_PersistentSegmentTree/Rectangles&Points:40                                123240 ns       123316 ns         5607
